Code point,Rank 1,Rank 2,Unicode name,C47 usage,Glyph,Glyph,Replacement code point,Replacement,,Comments
U+0396,429,429,GREEK CAPITAL LETTER ZETA,ZETA,Ζ,Ζ,U+0396,Ζ,,
U+0397,431,431,GREEK CAPITAL LETTER ETA,ETA,Η,Η,U+0397,Η,,
U+0398,434,434,GREEK CAPITAL LETTER THETA,THETA,Θ,Θ,U+0398,Θ,,
U+0399,438,438,GREEK CAPITAL LETTER IOTA,IOTA,Ι,Ι,U+0399,Ι,,
U+039a,444,444,GREEK CAPITAL LETTER KAPPA,KAPPA,Κ,Κ,U+039a,Κ,,
U+039b,446,446,GREEK CAPITAL LETTER LAMDA,LAMDA,Λ,Λ,U+039b,Λ,,
U+039c,448,448,GREEK CAPITAL LETTER MU,MU,Μ,Μ,U+039c,Μ,,
U+039d,452,452,GREEK CAPITAL LETTER NU,NU,Ν,Ν,U+039d,Ν,,
U+039e,454,454,GREEK CAPITAL LETTER XI,XI,Ξ,Ξ,U+039e,Ξ,,
U+039f,456,456,GREEK CAPITAL LETTER OMICRON,OMICRON,Ο,Ο,U+039f,Ο,,
U+03a0,459,459,GREEK CAPITAL LETTER PI,PI,Π,Π,U+03a0,Π,,
U+03a1,465,465,GREEK CAPITAL LETTER RHO,RHO,Ρ,Ρ,U+03a1,Ρ,,
U+03a2,330,355,not defined by unicode,u circumflex,΢,΢,U+0055,U,,
U+03a3,467,467,GREEK CAPITAL LETTER SIGMA,SIGMA,Σ,Σ,U+03a3,Σ,,
U+03a4,471,471,GREEK CAPITAL LETTER TAU,TAU,Τ,Τ,U+03a4,Τ,,
U+03a5,473,473,GREEK CAPITAL LETTER UPSILON,UPSILON,Υ,Υ,U+03a5,Υ,,
U+03a6,479,479,GREEK CAPITAL LETTER PHI,PHI,Φ,Φ,U+03a6,Φ,,
U+03a7,481,481,GREEK CAPITAL LETTER CHI,CHI,Χ,Χ,U+03a7,Χ,,
U+03a8,483,483,GREEK CAPITAL LETTER PSI,PSI,Ψ,Ψ,U+03a8,Ψ,,
U+03a9,485,485,GREEK CAPITAL LETTER OMEGA,OMEGA,Ω,Ω,U+03a9,Ω,,
U+03aa,438,441,GREEK CAPITAL LETTER IOTA WITH DIALYTIKA,IOTA dialytika,Ϊ,Ϊ,U+0399,Ι,,
U+03ab,473,476,GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA,UPSILON dialytika,Ϋ,Ϋ,U+03a5,Υ,,
U+03ac,415,418,GREEK SMALL LETTER ALPHA WITH TONOS,alpha tonos,ά,ά,U+0391,Α,,
U+03ad,426,428,GREEK SMALL LETTER EPSILON WITH TONOS,epsilon tonos,έ,έ,U+0395,Ε,,
U+03ae,431,433,GREEK SMALL LETTER ETA WITH TONOS,eta tonos,ή,ή,U+0397,Η,,
U+03af,438,440,GREEK SMALL LETTER IOTA WITH TONOS,iota tonos,ί,ί,U+0399,Ι,,
U+03b0,473,478,GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS,upsilon dialytika tonos,ΰ,ΰ,U+03a5,Υ,,
U+03b1,415,416,GREEK SMALL LETTER ALPHA,alpha,α,α,U+0391,Α,,
U+03b2,419,420,GREEK SMALL LETTER BETA,beta,β,β,U+0392,Β,,
U+03b3,421,422,GREEK SMALL LETTER GAMMA,gamma,γ,γ,U+0393,Γ,,
U+03b4,423,424,GREEK SMALL LETTER DELTA,delta,δ,δ,U+0394,Δ,,
U+03b5,426,427,GREEK SMALL LETTER EPSILON,epsilon,ε,ε,U+0395,Ε,,
U+03b6,429,430,GREEK SMALL LETTER ZETA,zeta,ζ,ζ,U+0396,Ζ,,
U+03b7,431,432,GREEK SMALL LETTER ETA,eta,η,η,U+0397,Η,,
U+03b8,434,435,GREEK SMALL LETTER THETA,theta-math,θ,θ,U+0398,Θ,,2025-03-19. JM Added alternative theta
U+03b9,438,439,GREEK SMALL LETTER IOTA,iota,ι,ι,U+0399,Ι,,
U+03ba,444,445,GREEK SMALL LETTER KAPPA,kappa,κ,κ,U+039a,Κ,,
U+03bb,446,447,GREEK SMALL LETTER LAMDA,lamda,λ,λ,U+039b,Λ,,
U+03bc,448,449,GREEK SMALL LETTER MU,mu,μ,μ,U+039c,Μ,,
U+03bd,452,453,GREEK SMALL LETTER NU,nu,ν,ν,U+039d,Ν,,
U+03be,454,455,GREEK SMALL LETTER XI,xi,ξ,ξ,U+039e,Ξ,,
U+03bf,456,457,GREEK SMALL LETTER OMICRON,omicron,ο,ο,U+039f,Ο,,
U+03c0,459,461,GREEK SMALL LETTER PI,pi,π,π,U+03a0,Π,,
U+03c1,465,466,GREEK SMALL LETTER RHO,rho,ρ,ρ,U+03a1,Ρ,,
U+03c2,467,469,GREEK SMALL LETTER FINAL SIGMA,Final sigma,ς,ς,U+03a3,Σ,,
U+03c3,467,468,GREEK SMALL LETTER SIGMA,sigma,σ,σ,U+03a3,Σ,,
U+03c4,471,472,GREEK SMALL LETTER TAU,tau,τ,τ,U+03a4,Τ,,
U+03c5,473,474,GREEK SMALL LETTER UPSILON,upsilon,υ,υ,U+03a5,Υ,,
U+03c6,479,480,GREEK SMALL LETTER PHI,phi,φ,φ,U+03a6,Φ,,
U+03c7,481,482,GREEK SMALL LETTER CHI,chi,χ,χ,U+03a7,Χ,,
U+03c8,483,484,GREEK SMALL LETTER PSI,psi,ψ,ψ,U+03a8,Ψ,,
U+03c9,485,486,GREEK SMALL LETTER OMEGA,omega,ω,ω,U+03a9,Ω,,
U+03ca,438,442,GREEK SMALL LETTER IOTA WITH DIALYTIKA,iota dialytika,ϊ,ϊ,U+0399,Ι,,
U+03cb,473,477,GREEK SMALL LETTER UPSILON WITH DIALYTIKA,upsilon dialytika,ϋ,ϋ,U+03a5,Υ,,
U+03cc,456,458,GREEK SMALL LETTER OMICRON WITH TONOS,omicron tonos,ό,ό,U+039f,Ο,,
U+03cd,473,475,GREEK SMALL LETTER UPSILON WITH TONOS,upsilon tonos,ύ,ύ,U+03a5,Υ,,
U+03ce,485,487,GREEK SMALL LETTER OMEGA WITH TONOS,omega tonos,ώ,ώ,U+03a9,Ω,,
U+03d1,434,436,GREEK SMALL LETTER THETA,theta-script,ϑ,ϑ,U+0398,Θ,,2025-03-19. JM. Moved. The glyph was incorrectly at 03b8
U+03d5,479,437,GREEK SMALL LETTER PHI,theta-math,ϕ,ϕ,U+03a6,Φ,,2025-03-19. JM. JM Added alternative phi.
U+03d8,488,488,GREEK LETTER ARCHAIC KOPPA,KOPPA,Ϙ,Ϙ,U+03d8,Ϙ,,
U+03d9,488,489,GREEK SMALL LETTER ARCHAIC KOPPA,koppa,ϙ,ϙ,U+03d8,Ϙ,,
U+03dc,490,490,GREEK LETTER DIGAMMA,DIGAMMA,Ϝ,Ϝ,U+03dc,Ϝ,,
U+03dd,490,491,GREEK SMALL LETTER DIGAMMA,digamma,ϝ,ϝ,U+03dc,Ϝ,,
U+03e0,492,492,GREEK LETTER SAMPI,SAMPI,Ϡ,Ϡ,U+03e0,Ϡ,,
U+03e1,492,493,GREEK SMALL LETTER SAMPI,sampi,ϡ,ϡ,U+03e0,Ϡ,,
U+1d40,316,320,SUPERSCRIPT T,Superscript T,ᵀ,ᵀ,U+0054,T,,
U+1d4d,161,165,SUPERSCRIPT g,Superscript g,ᵍ,ᵍ,U+0047,G,,
U+1da0,152,156,SUPERSCRIPT f,Superscript f,ᶠ,ᶠ,U+0046,F,,
U+1e9d,152,159,LONGSHIGHSTROKE,Long f,ẝ,ẝ,U+0046,F,,
U+1e9f,161,170,DELTA,Long g,ẟ,ẟ,U+0047,G,,
U+2003,1,2,EM SPACE,EM space, , ,U+0020, ,,
U+2004,1,3,THREE-PER-EM SPACE,3 per EM space, , ,U+0020, ,,
U+2005,1,4,FOUR-PER-EM SPACE,4 per EM space, , ,U+0020, ,,
U+2006,1,5,SIX-PER-EM SPACE,6 per EM space, , ,U+0020, ,,
U+2007,1,6,FIGURE SPACE,Figure space, , ,U+0020, ,,
U+2008,1,7,PUNCTUATION SPACE,Punctuation space, , ,U+0020, ,,
U+200a,1,8,HAIR SPACE,Hair space, , ,U+0020, ,,
U+2018,544,545,LEFT SINGLE QUOTATION MARK,Left single quatation mark,‘,‘,U+0027,',,
U+2019,544,546,RIGHT SINGLE QUOTATION MARK,Right single quatation mark,’,’,U+0027,',,
U+201a,544,547,SINGLE LOW-9 QUOTATION MARK,Single low-9 quotation mark,‚,‚,U+0027,',,
U+201b,544,548,SINGLE HIGH-REVERSED-9 QUOTATION MARK,Single high-reversed-9 quotation mark,‛,‛,U+0027,',,
U+201c,550,551,LEFT DOUBLE QUOTATION MARK,Left double quatation mark,“,“,U+0022,"""",,
U+201d,550,552,RIGHT DOUBLE QUOTATION MARK,Right double quatation mark,”,”,U+0022,"""",,
U+201e,550,553,DOUBLE LOW-9 QUOTATION MARK,Double low-9 quotation mark,„,„,U+0022,"""",,
U+201f,550,554,DOUBLE HIGH-REVERSED-9 QUOTATION MARK,Double high-reversed-9 quotation mark,‟,‟,U+0022,"""",,
U+2026,531,533,HORIZONTAL ELLIPSIS,Ellipsis,…,…,U+002e,.,,
U+2027,18,19,HYPHENATION POINT ,Binary 1,‧,‧,U+0031,1,,
U+2073,126,150,not defined by unicode,Subscript E,⁳,⁳,U+0045,E,,
U+2080,11,15,SUBSCRIPT ZERO,Subscript 0,₀,₀,U+0030,0,,
U+2081,18,23,SUBSCRIPT ONE,Subscript 1,₁,₁,U+0031,1,,
U+2082,25,27,SUBSCRIPT TWO,Subscript 2,₂,₂,U+0032,2,,
U+2083,29,31,SUBSCRIPT THREE,Subscript 3,₃,₃,U+0033,3,,
U+2084,34,36,SUBSCRIPT FOUR,Subscript 4,₄,₄,U+0034,4,,
U+2085,38,40,SUBSCRIPT FIVE,Subscript 5,₅,₅,U+0035,5,,
U+2086,42,44,SUBSCRIPT SIX,Subscript 6,₆,₆,U+0036,6,,
U+2087,46,48,SUBSCRIPT SEVEN,Subscript 7,₇,₇,U+0037,7,,
U+2088,50,52,SUBSCRIPT EIGHT,Subscript 8,₈,₈,U+0038,8,,
U+2089,54,56,SUBSCRIPT NINE,Subscript 9,₉,₉,U+0039,9,,
U+208a,510,512,SUBSCRIPT PLUS SIGN,Subscript +,₊,₊,U+002b,+,,
U+208b,514,516,SUBSCRIPT MINUS,Subscript -,₋,₋,U+002d,-,,
U+208f,519,524,not defined by unicode,Superscript *,₏,₏,U+00d7,×,,
U+209e,623,624,not defined by unicode,Superscript infinity,₞,₞,U+221e,∞,,
U+209f,623,625,not defined by unicode,Subscript infinity,₟,₟,U+221e,∞,,
U+20ac,614,616,EURO SIGN,Euro,€,€,U+0025,%,,
U+2102,98,110,DOUBLE-STRUCK CAPITAL C,Complec C,ℂ,ℂ,U+0043,C,,
U+210e,171,173,PLANCK CONSTANT,Planck,ℎ,ℎ,U+0048,H,,
U+210f,171,180,PLANCK CONSTANT OVER TWO PI,Planck / 2pi,ℏ,ℏ,U+0048,H,,
U+2110,181,204,DOUBLE-STRUCK CAPITAL I,Irrational I,ℐ,ℐ,U+0049,I,,
U+2113,220,226,SCRIPT SMALL L,Litre,ℓ,ℓ,U+004c,L,,
U+2115,239,251,DOUBLE-STRUCK CAPITAL N,Natural N,ℕ,ℕ,U+004e,N,,
U+211a,284,290,DOUBLE-STRUCK CAPITAL Q,Rational Q,ℚ,ℚ,U+0051,Q,,
U+211d,291,302,DOUBLE-STRUCK CAPITAL R,Real R,ℝ,ℝ,U+0052,R,,
U+2124,399,411,DOUBLE-STRUCK CAPITAL Z,Integer Z,ℤ,ℤ,U+005a,Z,,
U+2125,399,412,DOUBLE-STRUCK CAPITAL Z SMALL,Integer Z small,℥,℥,U+005a,Z,,
U+2138,316,328,not defined by unicode,Time,ℸ,ℸ,U+0054,T,,
U+2145,113,125,not defined by unicode,Date,ⅅ,ⅅ,U+0044,D,,
U+2147,126,151,DOUBLE-STRUCK ITALIC SMALL E,eEuler,ⅇ,ⅇ,U+0045,E,,
U+2148,181,203,DOUBLE-STRUCK ITALIC SMALL I,Complex i,ⅈ,ⅈ,U+0049,I,,
U+2149,205,212,DOUBLE-STRUCK ITALIC SMALL J,Complex j,ⅉ,ⅉ,U+004a,J,,
U+2160,11,14,ROMAN NUMERAL ONE,Superscript 0,Ⅰ,Ⅰ,U+0030,0,,
U+2161,18,22,ROMAN NUMERAL TWO,Superscript 1,Ⅱ,Ⅱ,U+0031,1,,
U+2162,25,26,ROMAN NUMERAL THREE,Superscript 2,Ⅲ,Ⅲ,U+0032,2,,
U+2163,29,30,ROMAN NUMERAL FOUR,Superscript 3,Ⅳ,Ⅳ,U+0033,3,,
U+2164,34,35,ROMAN NUMERAL FIVE,Superscript 4,Ⅴ,Ⅴ,U+0034,4,,
U+2165,38,39,ROMAN NUMERAL SIX,Superscript 5,Ⅵ,Ⅵ,U+0035,5,,
U+2166,42,43,ROMAN NUMERAL SEVEN,Superscript 6,Ⅶ,Ⅶ,U+0036,6,,
U+2167,46,47,ROMAN NUMERAL EIGHT,Superscript 7,Ⅷ,Ⅷ,U+0037,7,,
U+2168,50,51,ROMAN NUMERAL NINE,Superscript 8,Ⅸ,Ⅸ,U+0038,8,,
U+2169,54,55,ROMAN NUMERAL TEN,Superscript 9,Ⅹ,Ⅹ,U+0039,9,,
U+216a,510,511,SUPERSCRIPT PLUS SIGN,Superscript +,Ⅺ,Ⅺ,U+002b,+,,
U+216b,514,515,SUPERSCRIPT MINUS,Superscript -,Ⅻ,Ⅻ,U+002d,-,,
U+2190,567,567,LEFTWARDS ARROW,Left arrow,←,←,U+2190,←,,
U+2191,572,572,UPWARDS ARROW,Up arrow,↑,↑,U+2191,↑,,
U+2192,562,562,RIGHTWARDS ARROW,Right arrow,→,→,U+2192,→,,
U+2193,578,578,DOWNWARDS ARROW,Down arrow,↓,↓,U+2193,↓,,
U+2194,583,584,LEFT RIGHT ARROW,Left right arrow,↔,↔,U+21c4,⇄,,
U+2195,586,586,UP DOWN ARROW,Up down arrow,↕,↕,U+2195,↕,,
U+21b5,567,571,DOWNWARDS ARROW WITH CORNER LEFTWARDS,Carriage return,↵,↵,U+2190,←,,
U+21c0,562,563,RIGHTWARDS HARPOON WITH BARB UPWARDS,Short right arrow,⇀,⇀,U+2192,→,,
U+21c4,583,583,RIGHTWARDS ARROW OVER LEFTWARDS ARROW,Left right arrow,⇄,⇄,U+21c4,⇄,,
U+21c9,572,576,RIGHTWARDS PAIRED ARROWS,BST,⇉,⇉,U+2191,↑,,
U+21cb,578,582,LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON,SST,⇋,⇋,U+2193,↓,,
U+21cc,587,587,RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON,List,⇌,⇌,U+21cc,⇌,,
U+21cd,567,570,LEFTWARDS DOUBLE ARROW WITH STROKE,Undo,⇍,⇍,U+2190,←,,
U+21d2,562,566,RIGHTWARDS DOUBLE ARROW,Convert to xxx,⇒,⇒,U+2192,→,,
U+21d4,583,585,LEFT RIGHT DOUBLE ARROW,Left righr double arrow,⇔,⇔,U+21c4,⇄,,
U+21e0,567,568,LEFTWARDS ARROW,Left arrow,⇠,⇠,U+2190,←,,
U+21e1,572,573,UPWARDS ARROW,Up arrow,⇡,⇡,U+2191,↑,,
U+21e2,562,564,RIGHTWARDS ARROW,Right arrow,⇢,⇢,U+2192,→,,
U+21e3,578,579,DOWNWARDS ARROW,Down arrow,⇣,⇣,U+2193,↓,,
U+21e7,572,575,UP_HOLLOW_ARROW,Up hollow arrow,⇧,⇧,U+2191,↑,,
U+21e9,578,581,DOWN_HOLLOW_ARROW,Down hollow arrow,⇩,⇩,U+2193,↓,,
U+2201,98,111,COMPLEMENT,Complement,∁,∁,U+0043,C,,
U+2202,657,658,PARTIAL DIFFERENTIAL,Partial differential,∂,∂,U+2c6f,Ɐ,,
U+2203,657,659,THERE EXISTS,There exists,∃,∃,U+2c6f,Ɐ,,
U+2204,657,660,THERE DOES NOT EXIST,There does not exists,∄,∄,U+2c6f,Ɐ,,
U+2205,657,661,EMPTY SET,Empty set,∅,∅,U+2c6f,Ɐ,,
U+2206,657,662,INCREMENT,Increment,∆,∆,U+2c6f,Ɐ,,
U+2207,657,663,NABLA,Nabla,∇,∇,U+2c6f,Ɐ,,
U+2208,657,664,ELEMENT OF,Element of,∈,∈,U+2c6f,Ɐ,,
U+2209,657,665,NOT AN ELEMENT OF,Not an element of,∉,∉,U+2c6f,Ɐ,,
U+220b,657,666,CONTAINS AS MEMBER,Contains as member,∋,∋,U+2c6f,Ɐ,,
U+220c,657,667,DOES NOT CONTAIN AS MEMBER,Does not contain as member,∌,∌,U+2c6f,Ɐ,,
U+220e,11,12,END OF PROOF,Binary 0,∎,∎,U+0030,0,,
U+220f,459,460,N-ARY PRODUCT,N-ary product,∏,∏,U+03a0,Π,,
U+2211,467,470,N-ARY SUMMATION,N-ary summation,∑,∑,U+03a3,Σ,,
U+2213,514,517,MINUS-OR-PLUS SIGN,Minus-plus,∓,∓,U+002d,-,,
U+2218,519,522,RING OPERATOR,Ring,∘,∘,U+00d7,×,,
U+2219,519,521,BULLET OPERATOR,Bullet,∙,∙,U+00d7,×,,
U+221a,621,621,SQUARE ROOT,Square root,√,√,U+221a,√,,
U+221b,29,33,CUBE ROOT,Cube root,∛,∛,U+0033,3,,
U+221c,373,383,FOURTH ROOT,xth root,∜,∜,U+0058,X,,
U+221d,621,622,PROPORTIONAL TO,Proportional to,∝,∝,U+221a,√,,
U+221e,623,623,INFINITY,Infinity,∞,∞,U+221e,∞,,
U+221f,635,635,RIGHT ANGLE,Right angle,∟,∟,U+221f,∟,,
U+2220,637,637,ANGLE,Angle,∠,∠,U+2220,∠,,
U+2221,637,638,MEASURED ANGLE,Measured angle,∡,∡,U+2220,∠,,
U+2222,637,639,SPHERICAL ANGLE,Spherical angle,∢,∢,U+2220,∠,,
U+2223,595,596,DIVIDES,Divides,∣,∣,U+007c,|,,
U+2224,595,597,DOES NOT DIVIDE,Does not divide,∤,∤,U+007c,|,,
U+2225,595,598,PARALLEL TO,Parallel to,∥,∥,U+007c,|,,
U+2226,595,599,NOT PARALLEL TO,Not parallel to,∦,∦,U+007c,|,,
U+2227,588,589,LOGICAL AND,And,∧,∧,U+00ac,¬,,
U+2228,588,590,LOGICAL OR,Or,∨,∨,U+00ac,¬,,
U+2229,657,668,INTERSECTION,Intersection,∩,∩,U+2c6f,Ɐ,,
U+222a,657,669,UNION,Union,∪,∪,U+2c6f,Ɐ,,
U+222b,626,626,INTEGRAL,Integral,∫,∫,U+222b,∫,,
U+222c,626,627,DOUBLE INTEGRAL,Doublr integral,∬,∬,U+222b,∫,,
U+222d,626,628,TRIPLE INTEGRAL,Triple integral,∭,∭,U+222b,∫,,
U+222e,626,629,CONTOUR INTEGRAL,Contour integral,∮,∮,U+222b,∫,,
U+222f,626,630,SURFACE INTEGRAL,Surface integral,∯,∯,U+222b,∫,,
U+2230,626,631,VOLUME INTEGRAL,Volume integral,∰,∰,U+222b,∫,,
U+2236,540,541,RATIO,Ratio,∶,∶,U+003a,:,,
U+2243,600,606,ASYMPTOTICALLY EQUAL TO,Asymptotically equal to,≃,≃,U+226a,≪,,
U+2248,600,607,ALMOST EQUAL TO,Almost equal,≈,≈,U+226a,≪,,
U+2254,600,604,COLON EQUALS,Colon equals,≔,≔,U+226a,≪,,
U+2258,600,608,CORRESPONDS TO,Corresponds to,≘,≘,U+226a,≪,,
U+2259,600,609,ESTIMATES,Estimates,≙,≙,U+226a,≪,,
U+2260,600,610,NOT EQUAL TO,Not equel to,≠,≠,U+226a,≪,,
U+2261,600,603,IDENTICAL TO,Identical to,≡,≡,U+226a,≪,,
U+2264,600,602,LESS-THAN OR EQUAL TO,Less or equal than,≤,≤,U+226a,≪,,
U+2265,600,611,GREATER-THAN OR EQUAL TO,Greater or equal than,≥,≥,U+226a,≪,,
U+226a,600,600,MUCH LESS-THAN,Much less than,≪,≪,U+226a,≪,,
U+226b,600,613,MUCH GREATER-THAN,Much greater than,≫,≫,U+226a,≪,,
U+2282,657,670,SUBSET OF,Subset of,⊂,⊂,U+2c6f,Ɐ,,
U+2284,657,671,NOT A SUBSET OF,Not a subset of,⊄,⊄,U+2c6f,Ɐ,,
U+2295,634,634,CIRCLED PLUS,Subscript earth,⊕,⊕,U+2295,⊕,,
U+2296,415,417,CIRCLED MINUS,Subscript alpha,⊖,⊖,U+0391,Α,,
U+2297,423,425,CIRCLED TIMES,Subscript delta,⊗,⊗,U+0394,Δ,,
U+2298,448,451,CIRCLED SLASH,Subscript mu,⊘,⊘,U+039c,Μ,,
U+2299,632,632,CIRCLED DOT OPERATOR,Sun,⊙,⊙,U+2299,⊙,,
U+229a,632,633,CIRCLED RING OPERATOR,Subscript sun,⊚,⊚,U+2299,⊙,,
U+22a2,316,329,RIGHT TACK,right tack,⊢,⊢,U+0054,T,,
U+22a4,316,319,DOWN TACK,Transposed,⊤,⊤,U+0054,T,,
U+22a5,635,636,UP TACK,Perpendicular,⊥,⊥,U+221f,∟,,
U+22bb,588,591,XOR,Xor,⊻,⊻,U+00ac,¬,,
U+22bc,588,592,NAND,Nand,⊼,⊼,U+00ac,¬,,
U+22bd,588,593,NOR,Nor,⊽,⊽,U+00ac,¬,,
U+22c5,531,535,DOT OPERATOR,Wide dot,⋅,⋅,U+002e,.,,
U+231a,640,643,WATCH,Watch,⌚,⌚,U+2399,⎙,,
U+231b,640,641,HOURGLASS,Hourglass,⌛,⌛,U+2399,⎙,,
U+2393,514,518,DC CURRENT,DC current,⎓,⎓,U+002d,-,,
U+2399,640,640,PRINT SCREEN SYMBOL,Printer,⎙,⎙,U+2399,⎙,,
U+23a1,496,497,LEFT SQUARE BRACKET UPPER CORNER,Matrix upper left,⎡,⎡,U+005b,[,,
U+23a2,496,498,LEFT SQUARE BRACKET EXTENSION,Matrix middle left,⎢,⎢,U+005b,[,,
U+23a3,496,499,LEFT SQUARE BRACKET LOWER CORNER,Matrix lower left,⎣,⎣,U+005b,[,,
U+23a4,496,501,RIGHT SQUARE BRACKET UPPER CORNER,Matrix upper right,⎤,⎤,U+005b,[,,
U+23a5,496,502,RIGHT SQUARE BRACKET EXTENSION,Matrix middle right,⎥,⎥,U+005b,[,,
U+23a6,496,503,RIGHT SQUARE BRACKET LOWER CORNER,Matrix lower right,⎦,⎦,U+005b,[,,
U+23b5,1,10,BOTTOM SQUARE BRACKET,Narrow space,⎵,⎵,U+0020, ,,
U+23e6,560,561,AC CURRENT,AC current,⏦,⏦,U+007e,~,,
U+23f1,640,644,STOPWATCH,Stopwatch,⏱,⏱,U+2399,⎙,,
U+23fb,640,651,POWER SYMBOL,Power symbol,⏻,⏻,U+2399,⎙,,
U+2421,672,672,SYMBOL FOR DELETE,Oblique 1,␡,␡,U+2421,␡,,
U+2422,672,673,BLANK SYMBOL,Oblique 2,␢,␢,U+2421,␡,,
U+2423,1,9,OPEN BOX,Space symbol,␣,␣,U+0020, ,,
U+2425,672,674,SYMBOL FOR DELETE FORM TWO,Oblique 3,␥,␥,U+2421,␡,,
U+2426,672,675,SYMBOL FOR SUBSTITUTE FORM TWO,Oblique 4,␦,␦,U+2421,␡,,
U+2427,558,559,not defined by unicode,Cursor,␧,␧,U+005f,_,,
U+2428,531,532,not defined by unicode,DP decimal separator,␨,␨,U+002e,.,,
U+2429,528,529,not defined by unicode,DP decimal separator,␩,␩,U+002c,",",,
U+242a,640,645,not defined by unicode,Battery,␪,␪,U+2399,⎙,,
U+242b,572,577,not defined by unicode,Pgm begin,␫,␫,U+2191,↑,,
U+242c,640,647,not defined by unicode,User mode,␬,␬,U+2399,⎙,,
U+242d,655,655,not defined by unicode,UK,␭,␭,U+242d,␭,,
U+242e,655,656,not defined by unicode,US,␮,␮,U+242d,␭,,
U+242f,640,648,not defined by unicode,Negative exclamation mark,␯,␯,U+2399,⎙,,
U+2430,506,506,not defined by unicode,Gauss left black,␰,␰,U+2430,␰,,
U+2431,506,507,not defined by unicode,Gauss right white,␱,␱,U+2430,␰,,
U+2432,506,508,not defined by unicode,Gauss left white,␲,␲,U+2430,␰,,
U+2433,506,509,not defined by unicode,Gauss right black,␳,␳,U+2430,␰,,
U+2434,640,649,not defined by unicode,USB symbol,␴,␴,U+2399,⎙,,
U+2435,640,646,not defined by unicode,Battery half,␵,␵,U+2399,⎙,,
U+2460,18,24,CIRCLED DIGIT ONE ,Base 1,①,①,U+0031,1,,
U+2461,25,28,CIRCLED DIGIT TWO,Base 2,②,②,U+0032,2,,
U+2462,29,32,CIRCLED DIGIT THREE,Base 3,③,③,U+0033,3,,
U+2463,34,37,CIRCLED DIGIT FOUR,Base 4,④,④,U+0034,4,,
U+2464,38,41,CIRCLED DIGIT FIVE,Base 5,⑤,⑤,U+0035,5,,
U+2465,42,45,CIRCLED DIGIT SIX,Base 6,⑥,⑥,U+0036,6,,
U+2466,46,49,CIRCLED DIGIT SEVEN,Base 7,⑦,⑦,U+0037,7,,
U+2467,50,53,CIRCLED DIGIT EIGHT,Base 8,⑧,⑧,U+0038,8,,
U+2468,54,57,CIRCLED DIGIT NINE,Base 9,⑨,⑨,U+0039,9,,
U+2469,58,59,CIRCLED DIGIT TEN,Base 10,⑩,⑩,U+247d,⑽,,
U+246a,60,60,CIRCLED DIGIT ELEVEN,Base 11,⑪,⑪,U+246a,⑪,,
U+246b,61,61,CIRCLED DIGIT TWELVE,Base 12,⑫,⑫,U+246b,⑫,,
U+246c,62,62,CIRCLED DIGIT THIRTEEN,Base 13,⑬,⑬,U+246c,⑬,,
U+246d,63,63,CIRCLED DIGIT FOURTEEN,Base 14,⑭,⑭,U+246d,⑭,,
U+246e,64,64,CIRCLED DIGIT FIFTEEN,Base 15,⑮,⑮,U+246e,⑮,,
U+246f,65,65,CIRCLED DIGIT SIXTEEN,Base 16,⑯,⑯,U+246f,⑯,,
U+247d,58,58,NUMBER TEN FULL STOP ,exponent mark,⑽,⑽,U+247d,⑽,,
U+2482,66,69,PARENTHESIZED NUMBER FIFTEEN,Superscript a,⒂,⒂,U+0041,A,,
U+2483,92,95,PARENTHESIZED NUMBER SIXTEEN,Superscript b,⒃,⒃,U+0042,B,,
U+2484,98,101,PARENTHESIZED NUMBER SEVENTEEN,Superscript c,⒄,⒄,U+0043,C,,
U+2485,113,116,PARENTHESIZED NUMBER EIGHTEEN,Superscript d,⒅,⒅,U+0044,D,,
U+2486,126,129,PARENTHESIZED NUMBER NINETEEN,Superscript e,⒆,⒆,U+0045,E,,
U+2487,152,155,PARENTHESIZED NUMBER TWENTY,Superscript f,⒇,⒇,U+0046,F,,
U+2488,161,164,DIGIT ONE FULL STOP,Superscript g,⒈,⒈,U+0047,G,,
U+2489,171,175,DIGIT TWO FULL STOP,Superscript h,⒉,⒉,U+0048,H,,
U+248a,181,184,DIGIT THREE FULL STOP,Superscript i,⒊,⒊,U+0049,I,,
U+248b,205,208,DIGIT FOUR FULL STOP,Superscript j,⒋,⒋,U+004a,J,,
U+248c,213,216,DIGIT FIVE FULL STOP,Superscript k,⒌,⒌,U+004b,K,,
U+248d,220,223,DIGIT SIX FULL STOP,Superscript l,⒍,⒍,U+004c,L,,
U+248e,233,236,DIGIT SEVEN FULL STOP,Superscript m,⒎,⒎,U+004d,M,,
U+248f,239,242,DIGIT EIGHT FULL STOP,Superscript n,⒏,⒏,U+004e,N,,
U+2490,253,256,DIGIT NINE FULL STOP,Superscript o,⒐,⒐,U+004f,O,,
U+2491,278,281,NUMBER TEN FULL STOP,Superscript p,⒑,⒑,U+0050,P,,
U+2492,284,287,NUMBER ELEVEN FULL STOP,Superscript q,⒒,⒒,U+0051,Q,,
U+2493,291,294,NUMBER TWELVE FULL STOP,Superscript r,⒓,⒓,U+0052,R,,
