Code point,Rank 1,Rank 2,Unicode name,C47 usage,Glyph,Glyph,Replacement code point,Replacement,,Comments
U+0069,181,182,LATIN SMALL LETTER I,i,i,i,U+0049,I,,
U+006a,205,206,LATIN SMALL LETTER J,j,j,j,U+004a,J,,
U+006b,213,214,LATIN SMALL LETTER K,k,k,k,U+004b,K,,
U+006c,220,221,LATIN SMALL LETTER L,l,l,l,U+004c,L,,
U+006d,233,234,LATIN SMALL LETTER M,m,m,m,U+004d,M,,
U+006e,239,240,LATIN SMALL LETTER N,n,n,n,U+004e,N,,
U+006f,253,254,LATIN SMALL LETTER O,o,o,o,U+004f,O,,
U+0070,278,279,LATIN SMALL LETTER P,p,p,p,U+0050,P,,
U+0071,284,285,LATIN SMALL LETTER Q,q,q,q,U+0051,Q,,
U+0072,291,292,LATIN SMALL LETTER R,r,r,r,U+0052,R,,
U+0073,303,304,LATIN SMALL LETTER S,s,s,s,U+0053,S,,
U+0074,316,317,LATIN SMALL LETTER T,t,t,t,U+0054,T,,
U+0075,330,331,LATIN SMALL LETTER U,u,u,u,U+0055,U,,
U+0076,356,357,LATIN SMALL LETTER V,v,v,v,U+0056,V,,
U+0077,364,365,LATIN SMALL LETTER W,w,w,w,U+0057,W,,
U+0078,373,374,LATIN SMALL LETTER X,x,x,x,U+0058,X,,
U+0079,384,385,LATIN SMALL LETTER Y,y,y,y,U+0059,Y,,
U+007a,399,400,LATIN SMALL LETTER Z,z,z,z,U+005a,Z,,
U+007b,504,504,LEFT CURLY BRACKET,Left curly bracket,{,{,U+007b,{,,
U+007c,595,595,VERTICAL LINE,Pipe,|,|,U+007c,|,,
U+007d,504,505,RIGHT CURLY BRACKET,Right curly bracket,},},U+007b,{,,
U+007e,560,560,TILDE,Tilde,~,~,U+007e,~,,
U+007f,11,16,not defined by unicode,0 double stroke,,,U+0030,0,,
U+00a1,536,537,INVERTED EXCLAMATION MARK,Inverted exclamation mark,¡,¡,U+0021,!,,
U+00a2,614,617,CENT SIGN,Cent,¢,¢,U+0025,%,,
U+00a3,614,618,POUND SIGN,Pound,£,£,U+0025,%,,
U+00a5,614,619,YEN SIGN,Yen,¥,¥,U+0025,%,,
U+00a7,614,620,SECTION SIGN,Section,§,§,U+0025,%,,
U+00a9,253,257,COPYRIGHT SIGN,Overflow Carry,©,©,U+004f,O,,
U+00ab,550,555,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,Left French quotation mark,«,«,U+0022,"""",,
U+00ac,588,588,NOT SIGN,Not,¬,¬,U+00ac,¬,,
U+00b0,11,13,DEGREE SIGN,Degree sign,°,°,U+0030,0,,
U+00b1,510,513,PLUS-MINUS SIGN,Plus-minus,±,±,U+002b,+,,
U+00b5,448,450,MICRO SIGN,mu,µ,µ,U+039c,Μ,,
U+00b7,519,520,MIDDLE DOT,Middle dot,·,·,U+00d7,×,,
U+00bb,550,556,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,Right French quotation mark,»,»,U+0022,"""",,
